Name,Organization,Year Elected,Residency
William T. Meredith,APS,1813,Resident
Benjamin R. Morgan,APS,1813,Resident
George Pollock,APS,1813,Resident
Anders J. Retzius,APS,1813,International
John Sergeant,APS,1813,Resident
Alexander Wilson,APS,1813,Resident
Nathaniel Stout Allison,APS,1814,Resident
Frederick Beasley,APS,1814,Resident
John G. Biddle,APS,1814,Resident
De Witt Clinton,APS,1814,Resident
James Cutbush,APS,1814,Resident
John S. Dorsey,APS,1814,Resident
Thomas Gilpin,APS,1814,Resident
John Gummere,APS,1814,Resident
John E. Hall,APS,1814,Resident
Joseph G. Swift,APS,1814,Resident
James P. Wilson,APS,1814,Resident
Samuel Colhoun,APS,1815,Resident
James Gray,APS,1815,Resident
Charles W. Hare,APS,1815,Resident
Joseph Hartshorne,APS,1815,Resident
Joseph Hopkinson,APS,1815,Resident
Charles J. Ingersoll,APS,1815,Resident
Joseph P. Norris,APS,1815,Resident
Joseph Parrish,APS,1815,Resident
John M. Scott,APS,1815,Resident
Carlo Botta,APS,1816,International
Abiel Holmes,APS,1816,Resident
Jared Mansfield,APS,1816,Resident
Joseph Reed,APS,1816,Resident
Isaiah Thomas,APS,1816,Resident
Gerard Troost,APS,1816,Resident
Joseph P.F. Deleuze,APS,1817,International
Johann P. Frank,APS,1817,International
William Gaston,APS,1817,Resident
Jos. von Hammer-Purgstall,APS,1817,International
Charles A. Lesueur,APS,1817,International
William Meade,APS,1817,Resident
Charles F. Mercer,APS,1817,Resident
Jean C. de la Metherie,APS,1817,International
Eugenius Nulty,APS,1817,Resident
Thomas Nuttall,APS,1817,Resident
George Ord,APS,1817,Resident
John C. Otto,APS,1817,Resident
Richard Rush,APS,1817,Resident
Thomas Say,APS,1817,Resident
Lewis Schweinitz,APS,1817,Resident
Joseph von Sonnenfels,APS,1817,International
Henry Steinhauer,APS,1817,Resident
Edward Troughton,APS,1817,International
Johann S. Vater,APS,1817,International
John Q. Adams,APS,1818,Resident
Friedrich Adelung,APS,1818,International
Jacob Bigelow,APS,1818,Resident
Parker Cleaveland,APS,1818,Resident
